"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"920","RT @LinnBHalton: 🌷A little suspense set in the Calabrian foothills of #Italy. Discover why a business trip uncovers a much deeper connectio…",FALSE,0,NA,2021-03-06 13:28:08,FALSE,NA,"1368191671331139584",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Car01am",11,TRUE,FALSE,NA,NA
"921","RT @LinnBHalton: 🌷A little suspense set in the Calabrian foothills of #Italy. Discover why a business trip uncovers a much deeper connectio…",FALSE,0,NA,2021-03-06 13:24:03,FALSE,NA,"1368190644225728529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KatieMettner",11,TRUE,FALSE,NA,NA
"922","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:21:03,FALSE,NA,"1368189886168174597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coletroisi",176,TRUE,FALSE,NA,NA
"923","@thepedrettishow damn those spiders really ruined your italy trip,,,, it was probably the italian spider mafia 😔 https://t.co/Wva3bgq3H2",FALSE,1,"thepedrettishow",2021-03-06 13:18:52,FALSE,"1368187871308419073","1368189336869605376","2629217381","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","panicatheworld",0,FALSE,FALSE,NA,NA
"924","RT @Phototravelzcom: #Italy 🇮🇹 is also home to the greatest number of UNESCO World Heritage Sites in the world. 🏝 Things to do 🏕 Pompeii Ru…",FALSE,0,NA,2021-03-06 13:12:07,FALSE,NA,"1368187640902717443",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malena_ky",4,TRUE,FALSE,NA,NA
"925","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:10:44,FALSE,NA,"1368187290397384708",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","p_satyajit",176,TRUE,FALSE,NA,NA
"926","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:10:23,FALSE,NA,"1368187201847259144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dwiarfw",176,TRUE,FALSE,NA,NA
"927","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:10:05,FALSE,NA,"1368187129088638986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gustavokoltz",176,TRUE,FALSE,NA,NA
"928","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:09:16,FALSE,NA,"1368186922812735488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MzCraftyBee",176,TRUE,FALSE,NA,NA
"929","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:09:14,FALSE,NA,"1368186913971204105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealSalbowski",176,TRUE,FALSE,NA,NA
